 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";102;107;89;298
"110040 Alto Paraíso";-;23;26;49
"110034 Alvorada D'Oeste";52;62;73;187
"110002 Ariquemes";501;449;433;1383
"110003 Cabixi";11;19;18;48
"110060 Cacaulândia";-;1;6;7
"110004 Cacoal";366;309;332;1007
"110070 Campo Novo de Rondônia";-;11;32;43
"110080 Candeias do Jamari";-;-;2;2
"110090 Castanheiras";-;8;3;11
"110005 Cerejeiras";72;60;67;199
"110006 Colorado do Oeste";83;88;98;269
"110007 Corumbiara";-;5;16;21
"110008 Costa Marques";51;49;48;148
"110009 Espigão D'Oeste";53;40;62;155
"110100 Governador Jorge Teixeira";-;10;21;31
"110010 Guajará-Mirim";129;132;201;462
"110110 Itapuã do Oeste";-;3;2;5
"110011 Jaru";279;255;354;888
"110012 Ji-Paraná";564;603;897;2064
"110013 Machadinho D'Oeste";64;67;95;226
"110120 Ministro Andreazza";-;4;4;8
"110130 Mirante da Serra";-;2;-;2
"110140 Monte Negro";-;10;46;56
"110014 Nova Brasilândia D'Oeste";19;3;11;33
"110033 Nova Mamoré";13;25;37;75
"110050 Novo Horizonte do Oeste";-;11;10;21
"110015 Ouro Preto do Oeste";232;221;223;676
"110018 Pimenta Bueno";161;163;190;514
"110020 Porto Velho";1318;1321;995;3634
"110025 Presidente Médici";86;88;162;336
"110026 Rio Crespo";-;2;4;6
"110028 Rolim de Moura";193;208;195;596
"110029 Santa Luzia D'Oeste";32;35;38;105
"110032 São Miguel do Guaporé";48;7;22;77
"110150 Seringueiras";-;9;40;49
"110160 Theobroma";-;7;12;19
"110170 Urupá";-;4;4;8
"110180 Vale do Paraíso";-;11;26;37
"110030 Vilhena";249;217;298;764
"110000 Município ignorado - RO";18;1;1;20
"120001 Acrelândia";1;4;14;19
"120005 Assis Brasil";7;2;2;11
"120010 Brasiléia";75;81;68;224
"120013 Bujari";2;2;6;10
"120017 Capixaba";1;1;2;4
"120020 Cruzeiro do Sul";322;375;320;1017
"120025 Epitaciolândia";21;23;19;63
"120030 Feijó";60;81;61;202
"120032 Jordão";-;-;1;1
"120033 Mâncio Lima";3;2;10;15
"120034 Manoel Urbano";1;4;4;9
"120035 Marechal Thaumaturgo";-;-;3;3
"120038 Plácido de Castro";27;25;47;99
"120080 Porto Acre";3;4;-;7
"120039 Porto Walter";1;-;-;1
"120040 Rio Branco";1423;1443;1467;4333
"120042 Rodrigues Alves";4;-;1;5
"120043 Santa Rosa do Purus";-;-;2;2
"120050 Sena Madureira";87;93;74;254
"120045 Senador Guiomard";8;3;7;18
"120060 Tarauacá";36;61;24;121
"120070 Xapuri";38;42;33;113
"130002 Alvarães";2;2;5;9
"130006 Amaturá";1;-;-;1
"130008 Anamã";1;-;-;1
"130010 Anori";-;2;4;6
"130014 Apuí";2;15;35;52
"130020 Atalaia do Norte";-;15;13;28
"130030 Autazes";1;-;20;21
"130040 Barcelos";10;-;5;15
"130050 Barreirinha";3;1;3;7
"130060 Benjamin Constant";2;19;-;21
"130063 Beruri";15;17;13;45
"130068 Boa Vista do Ramos";8;10;12;30
"130070 Boca do Acre";38;38;51;127
"130080 Borba";1;-;-;1
"130083 Caapiranga";1;-;1;2
"130090 Canutama";16;12;19;47
"130100 Carauari";44;82;101;227
"130110 Careiro";6;8;22;36
"130115 Careiro da Várzea";3;5;3;11
"130120 Coari";55;53;46;154
"130130 Codajás";18;37;38;93
"130140 Eirunepé";8;-;1;9
"130150 Envira";10;34;40;84
"130160 Fonte Boa";1;-;-;1
"130165 Guajará";2;11;20;33
"130170 Humaitá";89;77;94;260
"130180 Ipixuna";21;9;4;34
"130185 Iranduba";10;8;8;26
"130190 Itacoatiara";317;311;252;880
"130195 Itamarati";1;10;8;19
"130200 Itapiranga";14;18;16;48
"130210 Japurá";-;-;1;1
"130220 Juruá";-;6;-;6
"130230 Jutaí";-;-;3;3
"130240 Lábrea";162;137;101;400
"130250 Manacapuru";124;108;152;384
"130255 Manaquiri";1;8;-;9
"130260 Manaus";5883;6387;6599;18869
"130270 Manicoré";-;22;48;70
"130280 Maraã";1;6;2;9
"130290 Maués";132;130;106;368
"130300 Nhamundá";82;61;44;187
"130310 Nova Olinda do Norte";6;3;4;13
"130320 Novo Airão";-;-;1;1
"130330 Novo Aripuanã";6;40;26;72
"130340 Parintins";236;271;243;750
"130350 Pauini";3;-;-;3
"130353 Presidente Figueiredo";2;8;4;14
"130356 Rio Preto da Eva";-;6;4;10
"130360 Santa Isabel do Rio Negro";-;3;6;9
"130370 Santo Antônio do Içá";-;1;-;1
"130380 São Gabriel da Cachoeira";68;38;68;174
"130390 São Paulo de Olivença";29;28;39;96
"130395 São Sebastião do Uatumã";-;1;4;5
"130400 Silves";7;1;4;12
"130406 Tabatinga";82;97;69;248
"130410 Tapauá";5;19;10;34
"130420 Tefé";107;119;72;298
"130423 Tonantins";-;2;-;2
"130426 Uarini";2;5;2;9
"130430 Urucará";1;7;8;16
"130440 Urucurituba";24;40;3;67
"130000 Município ignorado - AM";4;-;4;8
"140005 Alto Alegre";5;9;18;32
"140010 Boa Vista";716;825;835;2376
"140015 Bonfim";10;20;19;49
"140020 Caracaraí";11;32;29;72
"140030 Mucajaí";14;13;16;43
"140040 Normandia";2;6;8;16
"140050 São João da Baliza";14;9;8;31
"140060 São Luiz";5;8;12;25
"150010 Abaetetuba";418;439;386;1243
"150013 Abel Figueiredo";1;9;2;12
"150020 Acará";5;3;5;13
"150030 Afuá";24;28;13;65
"150034 Água Azul do Norte";4;9;3;16
"150040 Alenquer";140;96;117;353
"150050 Almeirim";15;4;2;21
"150060 Altamira";318;365;378;1061
"150070 Anajás";3;5;7;15
"150080 Ananindeua";619;602;682;1903
"150090 Augusto Corrêa";3;56;60;119
"150095 Aurora do Pará";14;33;17;64
"150100 Aveiro";14;8;4;26
"150110 Bagre";25;17;25;67
"150120 Baião";34;60;40;134
"150130 Barcarena";45;45;39;129
"150140 Belém";7190;7609;7674;22473
"150150 Benevides";47;27;18;92
"150157 Bom Jesus do Tocantins";17;12;2;31
"150160 Bonito";22;16;14;52
"150170 Bragança";221;267;293;781
"150172 Brasil Novo";19;23;33;75
"150175 Brejo Grande do Araguaia";8;12;7;27
"150178 Breu Branco";18;6;12;36
"150180 Breves";225;256;239;720
"150190 Bujaru";36;27;29;92
"150200 Cachoeira do Arari";41;29;32;102
"150210 Cametá";359;306;38;703
"150220 Capanema";257;219;219;695
"150230 Capitão Poço";85;126;117;328
"150240 Castanhal";660;623;582;1865
"150250 Chaves";12;-;3;15
"150260 Colares";50;38;28;116
"150270 Conceição do Araguaia";71;58;89;218
"150275 Concórdia do Pará";40;59;42;141
"150276 Cumaru do Norte";12;5;3;20
"150277 Curionópolis";32;36;15;83
"150280 Curralinho";23;29;33;85
"150290 Curuçá";59;73;53;185
"150293 Dom Eliseu";42;31;38;111
"150295 Eldorado do Carajás";11;22;19;52
"150300 Faro";11;9;2;22
"150307 Garrafão do Norte";35;18;34;87
"150309 Goianésia do Pará";11;16;19;46
"150310 Gurupá";53;52;40;145
"150320 Igarapé-Açu";117;98;138;353
"150330 Igarapé-Miri";113;120;36;269
"150340 Inhangapi";26;20;25;71
"150345 Ipixuna do Pará";3;5;21;29
"150350 Irituia";57;36;36;129
"150360 Itaituba";340;405;59;804
"150370 Itupiranga";100;48;13;161
"150375 Jacareacanga";10;8;4;22
"150380 Jacundá";43;79;78;200
"150390 Juruti";76;68;45;189
"150400 Limoeiro do Ajuru";23;32;14;69
"150405 Mãe do Rio";85;116;89;290
"150410 Magalhães Barata";28;27;21;76
"150420 Marabá";364;229;547;1140
"150430 Maracanã";94;60;62;216
"150440 Marapanim";76;54;38;168
"150445 Medicilândia";37;37;27;101
"150450 Melgaço";24;3;12;39
"150460 Mocajuba";28;-;-;28
"150470 Moju";115;98;85;298
"150480 Monte Alegre";143;153;165;461
"150490 Muaná";57;80;69;206
"150495 Nova Esperança do Piriá";3;3;13;19
"150500 Nova Timboteua";34;42;35;111
"150503 Novo Progresso";5;-;-;5
"150506 Novo Repartimento";25;23;47;95
"150510 Óbidos";158;114;49;321
"150520 Oeiras do Pará";18;17;18;53
"150530 Oriximiná";193;189;166;548
"150540 Ourém";37;39;53;129
"150543 Ourilândia do Norte";15;24;8;47
"150548 Pacajá";43;35;23;101
"150549 Palestina do Pará";13;14;6;33
"150550 Paragominas";265;281;230;776
"150553 Parauapebas";109;130;124;363
"150555 Pau D'Arco";5;1;3;9
"150560 Peixe-Boi";7;6;7;20
"150570 Ponta de Pedras";36;52;43;131
"150580 Portel";71;75;56;202
"150590 Porto de Moz";23;30;42;95
"150600 Prainha";8;15;8;31
"150610 Primavera";81;90;86;257
"150613 Redenção";331;201;283;815
"150616 Rio Maria";72;61;73;206
"150618 Rondon do Pará";83;103;64;250
"150619 Rurópolis";59;62;64;185
"150620 Salinópolis";104;114;122;340
"150630 Salvaterra";52;52;40;144
"150635 Santa Bárbara do Pará";1;-;1;2
"150640 Santa Cruz do Arari";9;20;8;37
"150650 Santa Izabel do Pará";238;224;266;728
"150655 Santa Luzia do Pará";53;61;54;168
"150658 Santa Maria das Barreiras";11;17;15;43
"150660 Santa Maria do Pará";66;66;56;188
"150670 Santana do Araguaia";7;3;6;16
"150680 Santarém";995;1115;979;3089
"150690 Santarém Novo";11;27;16;54
"150700 Santo Antônio do Tauá";36;49;46;131
"150710 São Caetano de Odivelas";47;54;41;142
"150715 São Domingos do Araguaia";11;11;6;28
"150720 São Domingos do Capim";24;37;28;89
"150730 São Félix do Xingu";66;40;42;148
"150740 São Francisco do Pará";28;35;24;87
"150745 São Geraldo do Araguaia";1;1;7;9
"150747 São João de Pirabas";51;67;57;175
"150750 São João do Araguaia";6;7;7;20
"150760 São Miguel do Guamá";64;66;92;222
"150770 São Sebastião da Boa Vista";25;59;48;132
"150780 Senador José Porfírio";13;12;11;36
"150790 Soure";130;132;107;369
"150795 Tailândia";44;57;24;125
"150796 Terra Alta";3;21;5;29
"150797 Terra Santa";44;36;48;128
"150800 Tomé-Açu";55;24;64;143
"150805 Trairão";3;-;-;3
"150808 Tucumã";40;29;30;99
"150810 Tucuruí";220;122;176;518
"150812 Ulianópolis";11;4;18;33
"150815 Uruará";54;48;47;149
"150820 Vigia";170;162;148;480
"150830 Viseu";9;5;3;17
"150835 Vitória do Xingu";9;13;16;38
"150840 Xinguara";87;74;87;248
"150000 Município ignorado - PA";3;2;3;8
"160010 Amapá";-;6;-;6
"160020 Calçoene";4;2;2;8
"160021 Cutias";-;1;1;2
"160023 Ferreira Gomes";3;7;3;13
"160025 Itaubal";-;3;2;5
"160027 Laranjal do Jari";16;2;-;18
"160030 Macapá";1074;1196;1329;3599
"160040 Mazagão";1;6;-;7
"160050 Oiapoque";4;15;7;26
"160015 Pedra Branca do Amapari";-;6;3;9
"160053 Porto Grande";8;16;16;40
"160055 Pracuúba";-;-;1;1
"160060 Santana";115;156;120;391
"160005 Serra do Navio";6;25;6;37
"160070 Tartarugalzinho";-;1;1;2
"170035 Aliança do Tocantins";5;17;22;44
"170040 Almas";9;3;6;18
"170070 Alvorada";41;40;43;124
"170100 Ananás";17;12;19;48
"170105 Angico";5;2;4;11
"170110 Aparecida do Rio Negro";1;-;7;8
"170130 Aragominas";3;7;5;15
"170190 Araguacema";12;5;25;42
"170200 Araguaçu";1;24;33;58
"170210 Araguaína";526;645;655;1826
"170215 Araguanã";1;1;1;3
"170220 Araguatins";66;12;60;138
"170230 Arapoema";22;37;31;90
"170240 Arraias";18;13;10;41
"170255 Augustinópolis";78;78;111;267
"170270 Aurora do Tocantins";13;6;6;25
"170290 Axixá do Tocantins";17;3;5;25
"170300 Babaçulândia";10;6;3;19
"170310 Barrolândia";7;3;10;20
"170320 Bernardo Sayão";3;2;1;6
"170330 Bom Jesus do Tocantins";-;2;7;9
"170360 Brasilândia do Tocantins";-;1;-;1
"170370 Brejinho de Nazaré";17;17;17;51
"170380 Buriti do Tocantins";3;1;1;5
"170382 Cachoeirinha";2;2;5;9
"170386 Cariri do Tocantins";1;3;9;13
"170388 Carmolândia";3;2;4;9
"170389 Carrasco Bonito";2;2;1;5
"170390 Caseara";7;2;3;12
"170410 Centenário";1;-;1;2
"170550 Colinas do Tocantins";76;101;140;317
"171670 Colméia";47;18;32;97
"170555 Combinado";4;1;15;20
"170560 Conceição do Tocantins";4;-;-;4
"170600 Couto Magalhães";4;13;8;25
"170610 Cristalândia";20;21;25;66
"170650 Darcinópolis";1;-;4;5
"170700 Dianópolis";27;4;2;33
"170710 Divinópolis do Tocantins";6;1;2;9
"170720 Dois Irmãos do Tocantins";12;11;15;38
"170730 Dueré";7;3;11;21
"170740 Esperantina";4;1;-;5
"170755 Fátima";6;8;10;24
"170765 Figueirópolis";23;11;19;53
"170770 Filadélfia";27;32;23;82
"170820 Formoso do Araguaia";37;33;41;111
"170825 Fortaleza do Tabocão";2;-;3;5
"170830 Goianorte";-;5;5;10
"170900 Goiatins";28;25;36;89
"170930 Guaraí";53;47;29;129
"170950 Gurupi";454;410;381;1245
"171050 Itacajá";10;20;12;42
"171070 Itaguatins";8;-;-;8
"171090 Itapiratins";3;5;1;9
"171110 Itaporã do Tocantins";10;8;8;26
"171150 Jaú do Tocantins";-;5;3;8
"171180 Juarina";-;3;1;4
"171190 Lagoa da Confusão";7;4;10;21
"171200 Lajeado";-;1;3;4
"171240 Lizarda";2;3;-;5
"171250 Marianópolis do Tocantins";6;1;3;10
"171270 Mateiros";-;2;-;2
"171280 Maurilândia do Tocantins";4;1;-;5
"171320 Miracema do Tocantins";65;34;76;175
"171330 Miranorte";23;1;17;41
"171360 Monte do Carmo";18;14;9;41
"171395 Muricilândia";-;1;10;11
"171420 Natividade";47;31;28;106
"171430 Nazaré";41;13;3;57
"171488 Nova Olinda";-;2;9;11
"171500 Nova Rosalândia";5;1;11;17
"171510 Novo Acordo";7;5;-;12
"171515 Novo Alegre";-;1;1;2
"172100 Palmas";79;126;183;388
"171570 Palmeirante";5;4;-;9
"171380 Palmeiras do Tocantins";4;7;1;12
"171575 Palmeirópolis";28;43;17;88
"171610 Paraíso do Tocantins";130;14;146;290
"171620 Paranã";21;-;37;58
"171630 Pau D'Arco";6;7;18;31
"171650 Pedro Afonso";17;18;30;65
"171660 Peixe";32;35;35;102
"171665 Pequizeiro";4;4;5;13
"171700 Pindorama do Tocantins";10;7;9;26
"171720 Piraquê";2;1;3;6
"171750 Pium";3;2;5;10
"171780 Ponte Alta do Bom Jesus";1;-;10;11
"171790 Ponte Alta do Tocantins";10;15;14;39
"171800 Porto Alegre do Tocantins";1;-;4;5
"171820 Porto Nacional";284;281;257;822
"171830 Praia Norte";7;5;10;22
"171840 Presidente Kennedy";8;4;8;20
"171850 Recursolândia";1;1;-;2
"171855 Riachinho";3;-;2;5
"171865 Rio da Conceição";1;-;1;2
"171870 Rio dos Bois";1;5;2;8
"171875 Rio Sono";7;4;1;12
"171880 Sampaio";1;5;13;19
"171884 Sandolândia";-;3;10;13
"171886 Santa Fé do Araguaia";2;3;3;8
"171888 Santa Maria do Tocantins";2;1;3;6
"171890 Santa Rosa do Tocantins";4;2;-;6
"171900 Santa Tereza do Tocantins";5;3;5;13
"172010 São Bento do Tocantins";1;-;4;5
"172015 São Félix do Tocantins";1;-;-;1
"172020 São Miguel do Tocantins";10;19;1;30
"172025 São Salvador do Tocantins";1;1;1;3
"172030 São Sebastião do Tocantins";-;1;4;5
"172049 São Valério";6;7;17;30
"172065 Silvanópolis";14;11;16;41
"172080 Sítio Novo do Tocantins";22;13;11;46
"172085 Sucupira";-;2;1;3
"172090 Taguatinga";10;24;32;66
"172093 Taipas do Tocantins";1;-;-;1
"172110 Tocantínia";10;8;8;26
"172120 Tocantinópolis";88;77;72;237
"172130 Tupiratins";1;2;2;5
"172208 Wanderlândia";28;14;7;49
"172210 Xambioá";66;69;89;224
"170000 Município ignorado - TO";2;19;5;26
"210005 Açailândia";271;355;293;919
"210010 Afonso Cunha";9;-;-;9
"210020 Alcântara";44;-;1;45
"210030 Aldeias Altas";42;70;54;166
"210040 Altamira do Maranhão";61;35;16;112
"210060 Amarante do Maranhão";50;44;49;143
"210070 Anajatuba";48;-;-;48
"210080 Anapurus";38;13;19;70
"210090 Araioses";121;93;9;223
"210095 Arame";42;23;16;81
"210100 Arari";35;7;-;42
"210110 Axixá";44;35;24;103
"210120 Bacabal";376;263;298;937
"210130 Bacuri";-;1;1;2
"210140 Balsas";103;146;111;360
"210150 Barão de Grajaú";50;40;13;103
"210160 Barra do Corda";166;171;186;523
"210170 Barreirinhas";83;91;76;250
"210180 Benedito Leite";24;2;-;26
"210190 Bequimão";76;83;-;159
"210200 Bom Jardim";57;71;148;276
"210210 Brejo";116;108;129;353
"210220 Buriti";64;105;80;249
"210230 Buriti Bravo";94;7;14;115
"210240 Cajapió";25;-;1;26
"210250 Cajari";13;3;-;16
"210260 Cândido Mendes";27;2;8;37
"210270 Cantanhede";24;27;2;53
"210280 Carolina";74;13;1;88
"210290 Carutapera";73;82;12;167
"210300 Caxias";368;273;564;1205
"210310 Cedral";6;1;-;7
"210320 Chapadinha";182;179;126;487
"210330 Codó";288;306;307;901
"210340 Coelho Neto";81;61;15;157
"210350 Colinas";145;94;121;360
"210360 Coroatá";206;203;202;611
"210370 Cururupu";-;29;42;71
"210380 Dom Pedro";59;38;47;144
"210390 Duque Bacelar";13;13;19;45
"210400 Esperantinópolis";116;100;75;291
"210405 Estreito";48;1;33;82
"210410 Fortaleza dos Nogueiras";33;19;33;85
"210420 Fortuna";66;30;32;128
"210430 Godofredo Viana";25;5;1;31
"210440 Gonçalves Dias";37;46;3;86
"210450 Governador Archer";30;4;-;34
"210460 Governador Eugênio Barros";14;27;18;59
"210470 Graça Aranha";8;-;14;22
"210480 Grajaú";113;116;99;328
"210500 Humberto de Campos";29;25;26;80
"210510 Icatu";39;30;1;70
"210520 Igarapé Grande";40;43;37;120
"210530 Imperatriz";869;551;817;2237
"210540 Itapecuru Mirim";62;63;19;144
"210550 João Lisboa";87;7;47;141
"210560 Joselândia";14;3;12;29
"210570 Lago da Pedra";46;63;35;144
"210580 Lago do Junco";4;2;-;6
"210590 Lago Verde";7;2;5;14
"210600 Lima Campos";26;6;-;32
"210610 Loreto";34;2;17;53
"210620 Luís Domingues";31;2;12;45
"210630 Magalhães de Almeida";27;19;27;73
"210640 Mata Roma";23;29;38;90
"210650 Matinha";27;1;1;29
"210660 Matões";25;-;1;26
"210670 Mirador";38;37;37;112
"210675 Miranda do Norte";26;1;4;31
"210680 Mirinzal";2;-;-;2
"210690 Monção";70;43;-;113
"210700 Montes Altos";40;3;-;43
"210710 Morros";38;42;32;112
"210720 Nina Rodrigues";21;16;18;55
"210730 Nova Iorque";1;-;-;1
"210740 Olho d'Água das Cunhãs";33;21;13;67
"210750 Paço do Lumiar";113;115;71;299
"210760 Palmeirândia";31;42;34;107
"210770 Paraibano";33;44;36;113
"210780 Parnarama";56;-;7;63
"210790 Passagem Franca";72;24;-;96
"210800 Pastos Bons";32;46;29;107
"210810 Paulo Ramos";48;38;-;86
"210820 Pedreiras";171;166;141;478
"210830 Penalva";14;2;2;18
"210840 Peri Mirim";35;1;1;37
"210850 Pindaré-Mirim";57;2;4;63
"210860 Pinheiro";255;249;236;740
"210870 Pio XII";52;39;57;148
"210880 Pirapemas";6;2;33;41
"210890 Poção de Pedras";37;71;66;174
"210900 Porto Franco";57;105;77;239
"210910 Presidente Dutra";115;81;96;292
"210920 Presidente Juscelino";5;9;2;16
"210930 Presidente Vargas";20;5;4;29
"210940 Primeira Cruz";26;34;26;86
"210950 Riachão";69;74;46;189
"210960 Rosário";99;100;123;322
"210970 Sambaíba";22;-;-;22
"210980 Santa Helena";8;20;36;64
"210990 Santa Inês";135;87;72;294
"211000 Santa Luzia";204;225;220;649
"211003 Santa Luzia do Paruá";57;55;68;180
"211010 Santa Quitéria do Maranhão";22;38;41;101
"211020 Santa Rita";30;47;34;111
"211030 Santo Antônio dos Lopes";67;16;-;83
"211040 São Benedito do Rio Preto";24;28;19;71
"211050 São Bento";116;118;102;336
"211060 São Bernardo";47;50;54;151
"211070 São Domingos do Maranhão";63;68;46;177
"211080 São Félix de Balsas";14;-;-;14
"211090 São Francisco do Maranhão";-;31;21;52
"211100 São João Batista";18;1;-;19
"211110 São João dos Patos";58;56;82;196
"211120 São José de Ribamar";124;148;88;360
"211130 São Luís";4166;4292;4613;13071
"211140 São Luís Gonzaga do Maranhão";44;66;75;185
"211150 São Mateus do Maranhão";60;52;38;150
"211160 São Raimundo das Mangabeiras";34;32;34;100
"211170 São Vicente Ferrer";20;1;-;21
"211180 Sítio Novo";26;20;18;64
"211190 Sucupira do Norte";7;8;13;28
"211210 Timbiras";31;38;41;110
"211220 Timon";311;250;305;866
"211230 Tuntum";23;-;19;42
"211240 Turiaçu";4;-;-;4
"211250 Tutóia";133;112;130;375
"211260 Urbano Santos";65;54;37;156
"211270 Vargem Grande";57;70;59;186
"211280 Viana";104;119;82;305
"211290 Vitória do Mearim";129;155;207;491
"211300 Vitorino Freire";55;73;69;197
"211400 Zé Doca";52;3;9;64
"210000 Município ignorado - MA";3;-;5;8
"220010 Agricolândia";18;34;14;66
"220020 Água Branca";60;70;51;181
"220025 Alagoinha do Piauí";17;29;21;67
"220027 Alegrete do Piauí";-;-;13;13
"220030 Alto Longá";20;-;2;22
"220040 Altos";122;105;80;307
"220050 Amarante";69;58;55;182
"220060 Angical do Piauí";36;18;38;92
"220070 Anísio de Abreu";5;2;-;7
"220080 Antônio Almeida";10;6;7;23
"220090 Aroazes";20;10;20;50
"220100 Arraial";25;38;23;86
"220120 Barras";168;205;146;519
"220130 Barreiras do Piauí";1;2;1;4
"220140 Barro Duro";15;30;23;68
"220150 Batalha";68;76;69;213
"220160 Beneditinos";1;-;1;2
"220170 Bertolínia";17;21;15;53
"220190 Bom Jesus";43;46;15;104
"220191 Bom Princípio do Piauí";7;-;5;12
"220196 Brasileira";9;12;22;43
"220200 Buriti dos Lopes";93;100;60;253
"220202 Buriti dos Montes";-;-;1;1
"220205 Cabeceiras do Piauí";14;8;27;49
"220210 Campinas do Piauí";1;-;1;2
"220220 Campo Maior";263;297;251;811
"220225 Canavieira";-;-;2;2
"220230 Canto do Buriti";100;80;88;268
"220240 Capitão de Campos";24;5;47;76
"220260 Castelo do Piauí";13;13;30;56
"220270 Cocal";65;66;56;187
"220273 Coivaras";8;1;7;16
"220275 Colônia do Gurguéia";1;14;15;30
"220277 Colônia do Piauí";4;6;10;20
"220280 Conceição do Canindé";47;44;37;128
"220285 Coronel José Dias";-;-;1;1
"220290 Corrente";47;50;32;129
"220310 Cristino Castro";1;14;1;16
"220320 Curimatá";29;32;29;90
"220330 Demerval Lobão";7;17;5;29
"220340 Dom Expedito Lopes";3;2;-;5
"220342 Domingos Mourão";17;18;17;52
"220350 Elesbão Veloso";70;52;77;199
"220360 Eliseu Martins";10;11;11;32
"220370 Esperantina";126;144;122;392
"220380 Flores do Piauí";6;2;3;11
"220390 Floriano";285;273;245;803
"220400 Francinópolis";11;9;23;43
"220410 Francisco Ayres";20;23;19;62
"220420 Francisco Santos";16;13;20;49
"220430 Fronteiras";13;5;7;25
"220440 Gilbués";7;1;-;8
"220450 Guadalupe";29;37;29;95
"220460 Hugo Napoleão";10;15;13;38
"220470 Inhuma";33;49;52;134
"220480 Ipiranga do Piauí";5;4;-;9
"220500 Itainópolis";13;15;16;44
"220510 Itaueira";36;33;29;98
"220515 Jacobina do Piauí";9;23;7;39
"220520 Jaicós";4;1;9;14
"220525 Jardim do Mulato";-;11;1;12
"220530 Jerumenha";3;10;18;31
"220540 Joaquim Pires";28;15;53;96
"220550 José de Freitas";67;77;35;179
"220555 Lagoa Alegre";-;3;20;23
"220560 Landri Sales";22;18;26;66
"220570 Luís Correia";68;84;73;225
"220580 Luzilândia";145;117;120;382
"220590 Manoel Emídio";9;14;18;41
"220595 Marcolândia";2;-;-;2
"220600 Marcos Parente";15;10;17;42
"220610 Matias Olímpio";49;39;32;120
"220620 Miguel Alves";14;17;5;36
"220630 Miguel Leão";1;1;1;3
"220640 Monsenhor Gil";12;19;13;44
"220650 Monsenhor Hipólito";32;41;26;99
"220660 Monte Alegre do Piauí";29;13;-;42
"220670 Nazaré do Piauí";29;28;20;77
"220680 Nossa Senhora dos Remédios";18;16;13;47
"220690 Novo Oriente do Piauí";-;-;5;5
"220700 Oeiras";248;221;200;669
"220720 Padre Marcos";2;7;3;12
"220730 Paes Landim";5;4;6;15
"220740 Palmeira do Piauí";16;9;2;27
"220750 Palmeirais";34;26;15;75
"220760 Parnaguá";4;1;-;5
"220770 Parnaíba";609;635;501;1745
"220775 Passagem Franca do Piauí";1;6;9;16
"220777 Patos do Piauí";-;-;1;1
"220780 Paulistana";111;119;85;315
"220790 Pedro II";3;-;13;16
"220800 Picos";411;325;256;992
"220810 Pimenteiras";8;30;41;79
"220820 Pio IX";69;66;58;193
"220830 Piracuruca";112;88;126;326
"220840 Piripiri";277;278;246;801
"220850 Porto";17;17;20;54
"220865 Queimada Nova";24;20;19;63
"220870 Redenção do Gurguéia";1;-;-;1
"220880 Regeneração";80;62;72;214
"220890 Ribeiro Gonçalves";6;2;-;8
"220900 Rio Grande do Piauí";16;22;28;66
"220910 Santa Cruz do Piauí";5;6;-;11
"220915 Santa Cruz dos Milagres";-;1;6;7
"220920 Santa Filomena";3;-;9;12
"220930 Santa Luz";42;-;-;42
"220937 Santa Rosa do Piauí";20;6;19;45
"220935 Santana do Piauí";11;4;5;20
"220940 Santo Antônio de Lisboa";1;-;-;1
"220950 Santo Inácio do Piauí";35;22;10;67
"220960 São Félix do Piauí";-;1;3;4
"220970 São Francisco do Piauí";2;2;2;6
"220980 São Gonçalo do Piauí";14;11;5;30
"220985 São João da Canabrava";19;25;21;65
"220990 São João da Serra";25;21;10;56
"221000 São João do Piauí";78;83;62;223
"221005 São José do Divino";11;9;-;20
"221010 São José do Peixe";7;2;-;9
"221020 São José do Piauí";21;18;24;63
"221030 São Julião";-;-;1;1
"221035 São Lourenço do Piauí";2;-;-;2
"221040 São Miguel do Tapuio";38;40;55;133
"221050 São Pedro do Piauí";63;73;39;175
"221060 São Raimundo Nonato";1;1;1;3
"221065 Sigefredo Pacheco";9;6;20;35
"221070 Simões";13;15;5;33
"221080 Simplício Mendes";51;47;38;136
"221090 Socorro do Piauí";11;-;-;11
"221100 Teresina";3478;3209;3196;9883
"221110 União";1;9;3;13
"221120 Uruçuí";63;58;28;149
"221130 Valença do Piauí";63;100;106;269
"221135 Várzea Branca";-;-;1;1
"221140 Várzea Grande";26;33;25;84
"220000 Município ignorado - PI";17;-;7;24
"230010 Abaiara";3;29;35;67
"230015 Acarape";19;16;22;57
"230020 Acaraú";215;208;176;599
"230030 Acopiara";262;354;266;882
"230040 Aiuaba";29;27;36;92
"230050 Alcântaras";43;43;38;124
"230060 Altaneira";13;20;13;46
"230070 Alto Santo";65;56;46;167
"230075 Amontada";74;63;82;219
"230080 Antonina do Norte";5;16;8;29
"230090 Apuiarés";51;8;32;91
"230100 Aquiraz";44;44;49;137
"230110 Aracati";223;224;256;703
"230120 Aracoiaba";94;63;66;223
"230125 Ararendá";20;51;28;99
"230130 Araripe";25;2;23;50
"230140 Aratuba";53;41;24;118
"230150 Arneiroz";4;-;23;27
"230160 Assaré";65;86;57;208
"230170 Aurora";4;125;101;230
"230180 Baixio";13;20;26;59
